#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,ranger,"is an terminal file manager that everyone thinks is bloated or whatever.. I like it.."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems. *sips*"
,exfat-utils,"allows management of FAT drives."
,feh,"lets you set you amine waifu as you background."
,man-db,"lets you read man pages of programs."
,firefox,"is a browser for optimal cooming"
,vim,"is a quintessential "i'm a power user" terminal text editor."
,rxvt-unicode,"Lightweight alternative to st terminal."
,neofetch,"No /r/UNIXporn post can exclude this important piece of software."
,ttf-font-awesome,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
,maim,"can take quick screenshots at your request."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
A,htop-vim-git,"is a graphical and colorful system monitor."
A,picom-tryone-git,"/r/UNIXporn ready compositor."
G,https://github.com/lLexian/slstatus.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/lLexian/dwm.git,"is the window manager."
